WARON HOSPITAL,,,,,,,,,,Catatan :,
 Jasa Tindakan Operasi,,,,,,,,,,A,"Waktu untuk Tindakan Operasi : Senin - Sabtu, Jam 07.00 - 20.00"
Periode 2025 -2026,,,,,,,,,,B,Biaya jasa tindakan operasi tersebut berlaku untuk tindakan operasi direncanakan (Elektif)
,,,,,,,,,,C,"Biaya Jasa Tindakan Operasi Elektif yang dilakukan di Hari Minggu, Hari Libur Nasional atau Hari Kerja namun di luar Jam Kerja, dikenakan tambahan 30%"
Category, Kelas III, Kelas II, Kelas I, VIP, VVIP , Penthouse,,,,D,"Tindakan Operasi Emergency (CITO) yang tidak dapat dilakukan penundaan, dikenakan tambahan 30% dengan minimal Rp. 2.000.000"
Golongan I,  3.500.000 ,  4.500.000 ,  5.500.000 ,  7.500.000 ,  10.000.000 ,  15.000.000 ,,,,E,"Apabila pada saat operasi ditemukan adanya penyulit, maka akan dikenakan tambahan 30%"
Golongan II,  8.000.000 ,  10.000.000 ,  13.500.000 ,  20.000.000 ,  23.000.000 ,  27.000.000 ,PARTUS ALL TINDAKAN,,,F,Tindakan Operasi Ganda menggunakan perhitungan sebagai berikut:
Golongan III,  15.000.000 ,  17.500.000 ,  19.000.000 ,  24.000.000 ,  30.000.000 ,  35.000.000 ,,,,,1. Tindakan Operasi Ganda oleh 1 Spesialis pada 1 Lokasi:
Golongan KHUSUS,  15.625.000 ,  20.000.000 ,  25.000.000 ,  29.000.000 ,  37.000.000 ,  43.000.000 ,,,,, - Tindakan Operasi ke - I (Jenis Operasi terbesar)      : 100%
Golongan IIA,  10.000.000 ,  13.500.000 ,  17.000.000 ,  20.000.000 ,  23.000.000 ,  27.000.000 ,KHUSUS LIST GOLONGAN DOKTER TERTENTU,,,, - Tindakan Operasi ke - II dst                                             : 50%
,,,,,,,,,,,2. Tindakan Operasi Ganda oleh 1 Spesialis pada 2 Lokasi
,,,,,,,,,,, - Tindakan Operasi ke - I               : 100%
,,,,,,,,,,, - Tindakan Operasi ke - II dst     : 100%
 Jasa Asisten Tindakan Operasi,,,,,,,,,,,3. Tindakan Operasi Ganda oleh 2 Spesialis pada 1 Lokasi atau lebih
Category, Kelas III, Kelas II, Kelas I, VIP, VVIP , Penthouse,,,,, - Tindakan Operasi ke - I                  : 100%
,,,,,,,,,,, - Tindakan Operasi ke - II dst       : 100%
TANPA ASISTEN,  -   ,  -   , -, -, -, -,,,,H,Operasi ulang (Re-open) pada hari yang sama dikenakan biaya 50%
Jasa Asisten Perawat,  625.000 ,  625.000 ,  625.000 ,  625.000 ,  625.000 ,  625.000 ,,,,I,Rawat Jalan/Day Surgery biaya pemakaian kamar operasi mengkuti pasien kelas II
Jasa Dokter Konsultan,  1.250.000 ,  1.250.000 ,  1.250.000 ,  1.250.000 ,  1.250.000 ,  1.250.000 ,,,,J,Jasa Tindakan Operasi ditetapkan berdasarkan kelas perawatan tertinggi yang diambil oleh pasien dalam 1 kali masa perawatan
